,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
t39,-0.019452529,11.195776,-0.37572718,15.836665,10.968278,-0.44726637,0.18565795,12.475362,0.8562018,0.296632,-0.3142364,-0.2669595,0.5517182,-0.055672374,-1.1814027,36.88244,10.403946,0.6842138,-0.641025,11.77984,-0.0946342,0.6561398,-0.25558993
t31,-0.010063232,11.697394,-0.37235218,14.769787,8.996456,-0.30630872,0.18973646,11.331286,0.78992,0.255053,-0.33085304,-0.2874784,0.68636715,-0.037468027,-1.1379049,34.795406,11.329541,0.7389603,-0.62257946,12.261049,-0.048905157,0.5711048,-0.2285569
t29,-0.019720009,9.978616,-0.33019724,13.0519905,10.37623,-0.4563966,0.15997761,10.184103,0.7222328,0.31907752,-0.34775358,-0.26497132,0.8130967,-0.046905123,-1.0072225,35.16975,9.736013,0.7516098,-0.5869858,12.998451,-0.076635405,0.75251544,-0.25737885
t28,0.33151948,12.5186405,-0.36966366,13.316231,6.2586865,-0.11220873,0.19637986,9.757215,0.68654495,0.19408734,-0.35562193,-0.32233936,0.8912983,-0.012169166,-1.0760869,32.048744,12.670784,0.8432186,-0.59882075,13.115759,0.36058146,0.45823115,-0.18675303
t117,-0.057000913,1.6306795,-0.13985929,5.3451333,18.616838,-1.2708246,0.03591295,4.7341623,0.38106743,0.69169706,-0.57628465,-0.22771229,1.5784901,-0.08533146,-0.45142514,40.890087,2.1883497,0.9719151,-0.4474383,18.18241,-0.2031463,1.7251221,-0.43498734
t179,-0.06475054,0.03301224,-0.110201314,4.2627435,20.375362,-1.428889,0.015266219,4.013041,0.33651385,0.7643315,-0.60919416,-0.2150427,1.6659234,-0.09513917,-0.35593534,42.112194,0.62350714,0.98820716,-0.4227768,18.926767,-0.23229554,1.900527,-0.4724209
t180,-0.06488097,0.033916116,-0.110523775,4.298536,20.37492,-1.4297836,0.015021579,4.0372252,0.33683312,0.76475525,-0.60929215,-0.2153358,1.6654737,-0.09532428,-0.35889405,42.12497,0.6366284,0.9903111,-0.42314532,18.940493,-0.23356915,1.901903,-0.4727784
t171,-0.06010356,0.92715913,-0.12754785,4.8726473,19.464699,-1.3448436,0.027176667,4.3948765,0.35994545,0.7263499,-0.5924591,-0.22500038,1.6312321,-0.089263186,-0.40499324,41.560112,1.4968407,0.98755103,-0.4363799,18.64532,-0.21361946,1.8128499,-0.45405546
t148,-0.06588171,0.023121301,-0.10907621,4.238012,20.340263,-1.4325476,0.014187212,3.9937592,0.33462828,0.7640651,-0.60883516,-0.2155202,1.6669225,-0.09528933,-0.36245227,42.08089,0.66566575,0.98763967,-0.42287233,18.876532,-0.23198436,1.8976154,-0.47099358
t147,-0.0645966,0.046254776,-0.10721917,4.2271276,20.301191,-1.4252288,0.013737476,4.0088263,0.3352338,0.75968677,-0.6119266,-0.21618725,1.6586592,-0.094609134,-0.35582298,42.036438,0.67473674,0.9856293,-0.42262357,18.872122,-0.2338108,1.8958019,-0.47158495
t21,1.5143019,13.861524,-0.38434643,14.628119,3.8592498,0.71042293,0.2287359,9.873656,0.6434537,0.1056977,-0.36658368,-0.3757292,0.8848409,0.20861869,-1.1571656,29.91066,14.556147,0.90467274,-0.63013136,12.5694475,1.532527,0.21380444,-0.12092516
t41,-0.02661134,9.2224655,-0.28478792,7.4869304,9.082254,-0.4406164,0.12140068,5.629725,0.45279673,0.40121818,-0.46686098,-0.29959926,1.6500272,-0.025794068,-0.77679354,35.08141,10.378261,1.0666962,-0.5344009,18.196077,-0.010865794,1.0254526,-0.2791409
t95,-0.046085972,4.913533,-0.19309747,4.0377474,13.652693,-0.8447705,0.06334496,3.2632778,0.3116635,0.59053826,-0.5792011,-0.2704282,1.9427648,-0.04928036,-0.4970484,38.296257,6.2384005,1.1213268,-0.47567582,20.40519,-0.10031482,1.5030789,-0.37296438
t96,-0.04687117,4.8172708,-0.19076411,3.9579504,13.721446,-0.85147697,0.061712906,3.1966822,0.30955502,0.5940664,-0.58155525,-0.26947594,1.9481541,-0.04982203,-0.4925477,38.32893,6.1832356,1.1225954,-0.47395936,20.439064,-0.102473505,1.5106899,-0.37399915
