,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t83,6.797813,-1.8377966,5.80323,2.977388,9.657039,7.7183223,3.3732648,6.5635796,2.9333239,8.243733,2.2637227,6.2978163,4.2121043,6.29166,3.8165193,4.5875106,3.7588396,-2.2553856
t84,12.201198,2.8709807,3.6477315,3.4515822,5.143004,6.060186,4.214776,7.4879165,5.3188367,4.0302997,2.2631726,2.5847597,2.1635764,6.0964265,4.2255883,6.7656407,5.5573354,6.6877866
t85,10.279835,4.5631533,11.0925,4.69068,5.9044538,7.240635,5.127181,5.3362513,2.9553437,5.7587657,3.746441,5.1166778,2.0555372,2.4921741,7.3320165,5.5470767,5.639648,4.513927
t86,10.2335005,4.4168754,11.206354,4.7259974,6.023005,7.451255,5.2765927,5.3325253,3.0164568,5.758398,3.864902,5.2093687,2.0391054,2.3696342,7.3149486,5.586057,5.8745522,4.462411
t87,12.199765,2.9491227,3.766722,3.4209912,5.1430635,5.983773,4.2150908,7.3490744,5.2751455,4.041849,2.3070354,2.5782156,2.11738,6.1117473,4.170469,6.766033,5.649774,6.7787147
t88,12.24977,2.9485672,3.7707791,3.4290204,5.0878077,5.967133,4.1617737,7.3673296,5.253054,4.085782,2.300123,2.550555,2.1631954,6.163548,4.1430497,6.7683725,5.6354713,6.773179
t89,-4.967089,5.433309,6.6116343,4.9273844,3.9123704,6.9083195,4.578583,7.24798,2.641361,6.3566194,1.7235445,6.19463,3.2971594,6.415748,4.099707,6.5131583,6.115646,3.188635
t90,10.377724,4.689548,11.062435,4.692523,5.8303266,7.2226143,5.073345,5.327364,3.0850787,5.8322425,3.7332659,5.0377326,2.1681886,2.4524837,7.2514687,5.4411583,5.7020864,4.480589
t91,-4.9098682,5.37745,6.58571,4.867081,3.9800725,6.914605,4.5527368,7.3123794,2.602904,6.3546724,1.7592453,6.15775,3.2669916,6.311255,4.1065483,6.4324117,6.14689,3.1700504
t92,12.232498,3.042818,3.8209426,3.3549526,5.1443815,5.921212,4.2115984,7.2287087,5.338151,4.0507064,2.3915765,2.509715,2.0356536,6.1134114,4.1280494,6.7091417,5.739113,6.8766723
t93,12.174539,3.1817584,3.9077249,3.21186,5.191069,5.813903,4.219274,7.033215,5.347417,4.079536,2.4946418,2.4979515,1.8936956,6.0409584,4.0431843,6.60935,5.888099,7.0483212
t94,-4.72466,6.1237774,5.2732277,5.430492,3.83786,5.8297453,3.5564961,7.1564837,3.8901298,6.501407,3.14044,5.181936,2.9777193,6.4962497,5.4942756,5.701658,6.9825587,3.8206537
t95,9.450621,14.652827,2.7493293,6.520911,1.804819,4.0079193,1.8401506,2.9856305,5.6020164,6.9301863,2.209263,4.329168,5.9685774,1.8249048,6.466445,5.702387,6.734555,0.832791
t96,6.785951,-1.8621987,5.807348,2.959658,9.65656,7.73253,3.3844974,6.5362844,2.9294782,8.287238,2.220985,6.351587,4.216501,6.2495456,3.810374,4.5924745,3.7941513,-2.267903
t97,6.785892,-1.8458909,5.798378,2.995184,9.666233,7.741494,3.3820057,6.547313,2.9266448,8.266519,2.2522166,6.328735,4.2219815,6.2622356,3.80171,4.595771,3.794918,-2.2428362
t98,9.911212,14.832178,2.868515,6.48607,1.7351642,4.2189264,2.2153492,3.4444587,6.13052,6.5901275,1.9724036,3.741511,6.833816,2.3135388,6.817185,6.370845,6.214685,1.7902759
