,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t77,-0.047240455,-0.107143156,-0.10456112,0.0076062423,8.951547,-0.23882243,-0.009765491,-0.18635201,3.9549074,1.8158683,-1.0294502,7.3600826,0.0046433574,4.902699,6.9513774
t78,-0.41590533,-0.13082796,2.6450472,3.3644714,4.8200836,17.136621,-0.47608897,-0.06324908,-0.06587921,0.10849158,3.118722,9.703388,0.008763954,4.2914577,-0.25917193
t79,-0.41977483,-0.13130924,2.6595874,3.3454323,4.748948,17.090462,-0.48026872,-0.06546279,-0.06608389,0.12651739,3.163098,9.733574,0.008945598,4.294511,-0.26069885
t80,5.434521,-0.116496176,-0.105829686,4.585782,-0.0035861437,2.3237517,-0.10309291,-0.1003942,3.410807,1.4807819,-0.0051787933,6.603484,7.083631,7.3125386,6.35218
t81,5.423098,-0.11596545,-0.10679095,4.621735,-0.0022594638,2.3764255,-0.10423873,-0.100130744,3.4185243,1.471575,-0.00069249637,6.6002913,7.1059875,7.3195844,6.359087
t82,-0.03765412,-0.106312945,-0.10293752,0.008259372,9.0102415,-0.2660083,-0.009394781,-0.18733853,3.9226165,1.8227441,-1.027571,7.460869,0.0067743016,4.948854,7.0039077
t83,0.30844015,-0.107316546,-0.09967847,0.02224247,8.599809,-0.25138074,-0.021988016,-0.18355358,4.04473,1.8960892,-1.034844,7.7243323,0.007360221,5.0053353,6.9554114
t84,-0.01966318,-0.08913058,-0.107753105,0.64418983,6.651453,0.18265066,0.17903091,-0.14218926,2.8522453,1.3253886,-0.719928,5.4526434,0.34179598,4.054671,5.562047
t85,-0.0302884,-0.10823894,-0.10952717,0.016160555,9.150111,-0.29960173,-0.007886685,-0.19847992,4.020519,1.86778,-1.0546622,7.6647243,0.007264556,5.0008297,7.1259975
t86,0.55226976,-0.0625049,-0.08064926,1.6376027,4.5262175,0.86986727,-0.03910363,-0.07812221,2.3485923,0.9298416,-0.38044828,4.354102,1.2758363,3.5347323,4.42766
t87,-0.43082547,-0.13298915,2.6240532,3.389034,4.755963,17.169096,-0.47574747,-0.06260586,-0.066822775,0.09906163,3.0615993,9.757341,0.0166529,4.321352,-0.26542875
t88,-0.91294825,-0.01197433,24.227694,0.5471567,-0.12620316,6.616503,-1.7802242,-0.27640682,3.0152814,1.1779131,20.748863,0.030809617,0.45204356,1.4779935,-0.19921395
t89,-1.0169332,-0.011118811,24.480412,0.51883596,-0.11389032,7.504504,-1.8166493,-0.2847601,2.1718836,0.8727964,21.016285,0.028721392,0.40444311,2.484307,-0.105491385
t90,-0.90286595,-0.029448872,26.451872,0.6882458,-0.14219768,6.648897,-1.8605391,-0.2975808,3.5528884,1.5747013,22.749107,0.034784902,0.558569,1.6871595,-0.26869214
t91,-0.89693755,-0.029562552,26.456152,0.6908829,-0.14244626,6.6462564,-1.8574462,-0.29847026,3.5649915,1.5864972,22.754488,0.03506558,0.5587988,1.6657351,-0.2656743
t92,-0.42570215,-0.1553464,2.801501,3.5094543,4.788093,18.202778,-0.5897243,-0.057691745,-0.06680163,0.23473267,3.2803597,10.497427,0.005634563,4.5290484,-0.21114075
t93,-0.02875352,-0.10050522,-0.10537893,0.032862972,8.58344,-0.20350362,-0.0129176425,-0.18263672,3.6863506,1.6741219,-0.96752375,7.023378,0.009180361,4.6516137,6.5871596
t94,-0.9127296,-0.031145168,26.389727,0.6803572,-0.1403574,6.6451297,-1.8696752,-0.29879186,3.5385883,1.5448802,22.696619,0.035384584,0.5538172,1.82621,-0.26022384
t95,-0.9120448,-0.030626649,26.385918,0.67939496,-0.1399572,6.6740084,-1.8668225,-0.29710943,3.5177696,1.538001,22.672989,0.035248876,0.5525437,1.8601494,-0.2613104
t96,-0.018628953,-0.0897816,-0.1085925,0.60323375,6.639785,0.23713724,0.19995451,-0.14059375,2.8670897,1.3207576,-0.72684115,5.4399443,0.30478185,4.035519,5.5305266
t97,-0.016332034,-0.08978454,-0.109570794,0.6206843,6.6792846,0.26150757,0.2073941,-0.14255035,2.8584673,1.3205639,-0.7284898,5.464387,0.30959916,4.0247188,5.541285
t98,-0.00043969488,-0.10812569,-0.104391314,0.015301347,8.909453,-0.21761023,-0.020437052,-0.18288119,3.9365804,1.8305323,-1.0367664,7.5910034,0.016672075,5.0293484,6.996884
t99,-0.017449405,-0.1062976,-0.104170494,0.016134484,8.854749,-0.19760834,-0.011839283,-0.17988051,3.8642714,1.7827593,-1.0242501,7.39222,0.01823167,4.8475294,6.8004766
